job_id,job_title,company,location,experience_level,job_description,date_posted,skills,skill_count
2950,Nlp Engineer,Vertex Insights,Bengaluru,Lead,"Exciting opportunity for a NLP Engineer at Vertex Insights, Bengaluru. Must have strong knowledge of PowerBI, Tableau dashboards, Amazon Web Services, SQL, Machine Learning and a passion for solving business problems.",2026-03-13,"AWS, Machine Learning, NLP, Power BI, SQL, Tableau",6
1147,Power Bi Developer,BrightPath AI,London,Senior,"Power BI Developer role open at BrightPath AI. Key requirements include Generative AI, SQL, PowerBI, Amazon Web Services. This is a Senior level position, London based.",2026-05-05,"AWS, Generative AI, Power BI, SQL",4
1375,Analytics Consultant,DataForge,Remote,Mid,"Join DataForge as a Analytics Consultant! We need someone comfortable with Excel, T-SQL, Tableau dashboards, Natural Language Processing, LLMs to help us build data-driven products.",2026-04-21,"Excel, Generative AI, NLP, SQL, Tableau",5
4995,Ai Engineer,Clarity Systems,Mumbai,Entry,"We are looking for a AI Engineer to join our team in Mumbai. The ideal candidate has hands-on experience with PowerBI, SQL. You will work closely with cross-functional teams to deliver insights.",2026-07-13,"Power BI, SQL",2
3851,Business Intelligence Analyst,Quantify Labs,Delhi Ncr,Lead,"Quantify Labs is hiring a Business Intelligence Analyst (Lead level) based in Delhi NCR. Required skills: proficiency in Python, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-05-06,"AWS, Python",2
3034,Bi Developer,BrightPath AI,Delhi Ncr,Mid,"Exciting opportunity for a BI Developer at BrightPath AI, Delhi NCR. Must have strong knowledge of Power BI dashboards, Python and a passion for solving business problems.",2026-02-23,"Power BI, Python",2
1543,Ai Engineer,Vertex Insights,Chennai,Senior,"Exciting opportunity for a AI Engineer at Vertex Insights, Chennai. Must have strong knowledge of Python, advanced SQL, NLP, Deep Learning, Excel and a passion for solving business problems.",2026-04-04,"Deep Learning, Excel, NLP, Python, SQL",5
767,Power Bi Developer,Northstar Tech,New York,Lead,"Northstar Tech is hiring a Power BI Developer (Lead level) based in New York. Required skills: Python, Tableau dashboards. Prior experience with analytics platforms is a plus.",2026-05-01,"Power BI, Python, Tableau",3
3854,Data Science Manager,Skyline Solutions,Pune,Mid,"Exciting opportunity for a Data Science Manager at Skyline Solutions, Pune. Must have strong knowledge of SQL queries, Tableau dashboards and a passion for solving business problems.",2026-05-03,"SQL, Tableau",2
2600,Analytics Consultant,Alpha Analytics,Hyderabad,Mid,"Analytics Consultant role open at Alpha Analytics. Key requirements include NLP, proficiency in Python, SQL queries. This is a Mid level position, Hyderabad based.",2026-03-16,"NLP, Python, SQL",3
1392,Data Science Manager,Northstar Tech,New York,Lead,"Northstar Tech is hiring a Data Science Manager (Lead level) based in New York. Required skills: SQL, AWS, ML models, Power BI, Tableau dashboards. Prior experience with analytics platforms is a plus.",2026-03-03,"AWS, Machine Learning, Power BI, SQL, Tableau",5
2959,Power Bi Developer,Clarity Systems,Bengaluru,Mid,"Exciting opportunity for a Power BI Developer at Clarity Systems, Bengaluru. Must have strong knowledge of Machine Learning, python programming, Power BI dashboards, T-SQL, Tableau, Large Language Models and a passion for solving business problems.",2026-04-27,"Generative AI, Machine Learning, Power BI, Python, SQL, Tableau",6
3614,Data Engineer,Nimbus Data,Hyderabad,Mid,"Data Engineer role open at Nimbus Data. Key requirements include machine-learning, SQL queries. This is a Mid level position, Hyderabad based.",2026-01-18,"Machine Learning, SQL",2
3618,Analytics Consultant,Quantify Labs,Pune,Mid,"Exciting opportunity for a Analytics Consultant at Quantify Labs, Pune. Must have strong knowledge of Power BI, ML models, Natural Language Processing, proficiency in Python and a passion for solving business problems.",2026-01-11,"Machine Learning, NLP, Power BI, Python",4
343,Power Bi Developer,BluePeak Consulting,New York,Mid,"BluePeak Consulting is hiring a Power BI Developer (Mid level) based in New York. Required skills: Deep Learning, advanced SQL. Prior experience with analytics platforms is a plus.",2026-06-13,"Deep Learning, Power BI, SQL",3
1321,Analytics Consultant,Quantify Labs,Chennai,Entry,"Analytics Consultant role open at Quantify Labs. Key requirements include Power BI dashboards, LLMs, python programming. This is a Entry level position, Chennai based.",2026-07-19,"Generative AI, Power BI, Python",3
150,Nlp Engineer,BrightPath AI,Delhi Ncr,Lead,"Join BrightPath AI as a NLP Engineer! We need someone comfortable with Advanced Excel, T-SQL, Natural Language Processing to help us build data-driven products.",2026-07-19,"Excel, NLP, SQL",3
4712,Ai Engineer,Vertex Insights,Hyderabad,Mid,"Join Vertex Insights as a AI Engineer! We need someone comfortable with Tableau, T-SQL, Excel, Deep Learning, Natural Language Processing, Power BI dashboards to help us build data-driven products.",2026-07-16,"Deep Learning, Excel, NLP, Power BI, SQL, Tableau",6
3682,Business Intelligence Analyst,Alpha Analytics,Delhi Ncr,Entry,"We are looking for a Business Intelligence Analyst to join our team in Delhi NCR. The ideal candidate has hands-on experience with machine-learning, Large Language Models, Advanced Excel, deep neural networks. You will work closely with cross-functional teams to deliver insights.",2026-01-21,"Deep Learning, Excel, Generative AI, Machine Learning",4
4030,Bi Developer,BluePeak Consulting,Delhi Ncr,Senior,"We are looking for a BI Developer to join our team in Delhi NCR. The ideal candidate has hands-on experience with proficiency in Python, AWS, Natural Language Processing, deep neural networks, Machine Learning, Excel. You will work closely with cross-functional teams to deliver insights.",2026-07-11,"AWS, Deep Learning, Excel, Machine Learning, NLP, Python",6
3805,Data Scientist,Nimbus Data,Remote,Lead,"Exciting opportunity for a Data Scientist at Nimbus Data, Remote. Must have strong knowledge of deep neural networks, Natural Language Processing, AWS, MS Excel, advanced SQL, Power BI and a passion for solving business problems.",2026-05-07,"AWS, Deep Learning, Excel, NLP, Power BI, SQL",6
136,Bi Developer,Nimbus Data,Hyderabad,Lead,"Join Nimbus Data as a BI Developer! We need someone comfortable with PowerBI, machine-learning, Generative AI, T-SQL, python programming, MS Excel to help us build data-driven products.",2026-02-26,"Excel, Generative AI, Machine Learning, Power BI, Python, SQL",6
2324,Bi Developer,Nimbus Data,London,Lead,"Nimbus Data is hiring a BI Developer (Lead level) based in London. Required skills: Advanced Excel, ML models, python programming, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-06-23,"AWS, Excel, Machine Learning, Python",4
4893,Data Analyst,Alpha Analytics,Singapore,Entry,"We are looking for a Data Analyst to join our team in Singapore. The ideal candidate has hands-on experience with MS Excel, proficiency in Python, ML models. You will work closely with cross-functional teams to deliver insights.",2026-05-31,"Excel, Machine Learning, Python",3
3893,Data Analyst,BluePeak Consulting,Hyderabad,Lead,"We are looking for a Data Analyst to join our team in Hyderabad. The ideal candidate has hands-on experience with NLP, Amazon Web Services, Python, Deep Learning, Power BI dashboards. You will work closely with cross-functional teams to deliver insights.",2026-01-15,"AWS, Deep Learning, NLP, Power BI, Python",5
1004,Bi Developer,DataForge,Remote,Senior,"BI Developer role open at DataForge. Key requirements include advanced SQL, python programming, PowerBI. This is a Senior level position, Remote based.",2026-05-08,"Power BI, Python, SQL",3
568,Data Engineer,Northstar Tech,Remote,Entry,"Exciting opportunity for a Data Engineer at Northstar Tech, Remote. Must have strong knowledge of Power BI, python programming, Advanced Excel and a passion for solving business problems.",2026-05-02,"Excel, Power BI, Python",3
2262,Bi Developer,BluePeak Consulting,London,Mid,"We are looking for a BI Developer to join our team in London. The ideal candidate has hands-on experience with SQL queries, Python. You will work closely with cross-functional teams to deliver insights.",2026-04-19,"Python, SQL",2
1024,Data Scientist,DataForge,Bengaluru,Not Specified,"Join DataForge as a Data Scientist! We need someone comfortable with Python, PowerBI, Excel, Generative AI to help us build data-driven products.",2026-05-28,"Excel, Generative AI, Power BI, Python",4
4086,Ai Research Engineer,Nimbus Data,London,Lead,"Exciting opportunity for a AI Research Engineer at Nimbus Data, London. Must have strong knowledge of deep neural networks, Power BI dashboards, NLP, ML models, T-SQL and a passion for solving business problems.",2026-07-10,"Deep Learning, Machine Learning, NLP, Power BI, SQL",5
1758,Ai Research Engineer,Quantify Labs,Chennai,Senior,"Quantify Labs is hiring a AI Research Engineer (Senior level) based in Chennai. Required skills: Tableau, machine-learning, advanced SQL. Prior experience with analytics platforms is a plus.",2026-07-01,"Machine Learning, SQL, Tableau",3
29,Data Scientist,BluePeak Consulting,Hyderabad,Entry,"Join BluePeak Consulting as a Data Scientist! We need someone comfortable with Tableau, Amazon Web Services, proficiency in Python, MS Excel, Power BI dashboards, SQL queries to help us build data-driven products.",2026-02-22,"AWS, Excel, Power BI, Python, SQL, Tableau",6
3638,Analytics Consultant,Northstar Tech,London,Senior,"Northstar Tech is hiring a Analytics Consultant (Senior level) based in London. Required skills: advanced SQL, MS Excel, Deep Learning, machine-learning, proficiency in Python, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-06-19,"AWS, Deep Learning, Excel, Machine Learning, Python, SQL",6
146,Data Science Manager,Nimbus Data,Delhi Ncr,Lead,"We are looking for a Data Science Manager to join our team in Delhi NCR. The ideal candidate has hands-on experience with Python, NLP, Large Language Models, SQL queries. You will work closely with cross-functional teams to deliver insights.",2026-04-03,"Generative AI, NLP, Python, SQL",4
3069,Data Analyst,DataForge,New York,Entry,"DataForge is hiring a Data Analyst (Entry level) based in New York. Required skills: Tableau dashboards, deep neural networks. Prior experience with analytics platforms is a plus.",2026-06-17,"Deep Learning, Tableau",2
4028,Nlp Engineer,Northstar Tech,Chennai,Mid,"Exciting opportunity for a NLP Engineer at Northstar Tech, Chennai. Must have strong knowledge of Power BI dashboards, Excel, Python, Amazon Web Services, advanced SQL and a passion for solving business problems.",2026-04-17,"AWS, Excel, NLP, Power BI, Python, SQL",6
3821,Data Science Manager,Alpha Analytics,Bengaluru,Entry,"Exciting opportunity for a Data Science Manager at Alpha Analytics, Bengaluru. Must have strong knowledge of Natural Language Processing, Power BI dashboards, python programming, deep neural networks and a passion for solving business problems.",2026-04-29,"Deep Learning, NLP, Power BI, Python",4
3334,Bi Developer,Clarity Systems,London,Lead,"Clarity Systems is hiring a BI Developer (Lead level) based in London. Required skills: Advanced Excel, Large Language Models. Prior experience with analytics platforms is a plus.",2026-03-18,"Excel, Generative AI",2
4492,Data Science Manager,Alpha Analytics,Chennai,Mid,"Data Science Manager role open at Alpha Analytics. Key requirements include T-SQL, proficiency in Python, Excel, Power BI, Tableau dashboards. This is a Mid level position, Chennai based.",2026-06-25,"Excel, Power BI, Python, SQL, Tableau",5
2410,Business Intelligence Analyst,Northstar Tech,Remote,Lead,"We are looking for a Business Intelligence Analyst to join our team in Remote. The ideal candidate has hands-on experience with Python, deep neural networks, Machine Learning. You will work closely with cross-functional teams to deliver insights.",2026-05-07,"Deep Learning, Machine Learning, Python",3
214,Machine Learning Engineer,Northstar Tech,London,Lead,"Machine Learning Engineer role open at Northstar Tech. Key requirements include NLP, Power BI dashboards. This is a Lead level position, London based.",2026-05-06,"Machine Learning, NLP, Power BI",3
471,Ai Engineer,BrightPath AI,Hyderabad,Senior,"AI Engineer role open at BrightPath AI. Key requirements include AWS, advanced SQL, Power BI. This is a Senior level position, Hyderabad based.",2026-04-02,"AWS, Power BI, SQL",3
460,Data Science Manager,Clarity Systems,Bengaluru,Entry,"Exciting opportunity for a Data Science Manager at Clarity Systems, Bengaluru. Must have strong knowledge of Python, SQL queries, Power BI, Deep Learning and a passion for solving business problems.",2026-04-13,"Deep Learning, Power BI, Python, SQL",4
1962,Business Intelligence Analyst,DataForge,Pune,Senior,"DataForge is hiring a Business Intelligence Analyst (Senior level) based in Pune. Required skills: Tableau dashboards, Deep Learning. Prior experience with analytics platforms is a plus.",2026-03-04,"Deep Learning, Tableau",2
4503,Bi Developer,Clarity Systems,Chennai,Lead,"Exciting opportunity for a BI Developer at Clarity Systems, Chennai. Must have strong knowledge of AWS, proficiency in Python, machine-learning and a passion for solving business problems.",2026-05-03,"AWS, Machine Learning, Python",3
597,Bi Developer,BluePeak Consulting,Mumbai,Lead,"Exciting opportunity for a BI Developer at BluePeak Consulting, Mumbai. Must have strong knowledge of machine-learning, MS Excel, PowerBI and a passion for solving business problems.",2026-05-20,"Excel, Machine Learning, Power BI",3
2844,Bi Developer,Northstar Tech,Chennai,Entry,"BI Developer role open at Northstar Tech. Key requirements include Tableau dashboards, SQL queries, machine-learning, Python, AWS. This is a Entry level position, Chennai based.",2026-02-22,"AWS, Machine Learning, Python, SQL, Tableau",5
162,Power Bi Developer,DataForge,New York,Mid,"We are looking for a Power BI Developer to join our team in New York. The ideal candidate has hands-on experience with Machine Learning, proficiency in Python, Amazon Web Services. You will work closely with cross-functional teams to deliver insights.",2026-03-17,"AWS, Machine Learning, Power BI, Python",4
4098,Data Scientist,Skyline Solutions,Singapore,Lead,"We are looking for a Data Scientist to join our team in Singapore. The ideal candidate has hands-on experience with machine-learning, python programming, Power BI dashboards. You will work closely with cross-functional teams to deliver insights.",2026-02-27,"Machine Learning, Power BI, Python",3
2756,Analytics Consultant,Vertex Insights,Mumbai,Mid,"Exciting opportunity for a Analytics Consultant at Vertex Insights, Mumbai. Must have strong knowledge of Power BI, SQL queries, proficiency in Python and a passion for solving business problems.",2026-01-18,"Power BI, Python, SQL",3
2291,Ai Research Engineer,Quantify Labs,Bengaluru,Entry,"Exciting opportunity for a AI Research Engineer at Quantify Labs, Bengaluru. Must have strong knowledge of Power BI, proficiency in Python, Excel, Large Language Models and a passion for solving business problems.",2026-06-01,"Excel, Generative AI, Power BI, Python",4
4069,Analytics Consultant,Clarity Systems,Delhi Ncr,Mid,"Exciting opportunity for a Analytics Consultant at Clarity Systems, Delhi NCR. Must have strong knowledge of Python, Deep Learning, Amazon Web Services, MS Excel, machine-learning, advanced SQL and a passion for solving business problems.",2026-07-18,"AWS, Deep Learning, Excel, Machine Learning, Python, SQL",6
2143,Data Engineer,Nimbus Data,Bengaluru,Lead,"Nimbus Data is hiring a Data Engineer (Lead level) based in Bengaluru. Required skills: advanced SQL, python programming, NLP, MS Excel. Prior experience with analytics platforms is a plus.",2026-05-11,"Excel, NLP, Python, SQL",4
4793,Business Intelligence Analyst,Alpha Analytics,Mumbai,Mid,"Exciting opportunity for a Business Intelligence Analyst at Alpha Analytics, Mumbai. Must have strong knowledge of Deep Learning, Natural Language Processing, ML models, proficiency in Python, Tableau and a passion for solving business problems.",2026-06-18,"Deep Learning, Machine Learning, NLP, Python, Tableau",5
319,Data Analyst,DataForge,Mumbai,Mid,"Exciting opportunity for a Data Analyst at DataForge, Mumbai. Must have strong knowledge of T-SQL, machine-learning, deep neural networks, PowerBI, Python, Advanced Excel and a passion for solving business problems.",2026-02-14,"Deep Learning, Excel, Machine Learning, Power BI, Python, SQL",6
963,Data Scientist,DataForge,New York,Mid,"We are looking for a Data Scientist to join our team in New York. The ideal candidate has hands-on experience with PowerBI, proficiency in Python, deep neural networks. You will work closely with cross-functional teams to deliver insights.",2026-04-02,"Deep Learning, Power BI, Python",3
3312,Power Bi Developer,Clarity Systems,New York,Senior,"Join Clarity Systems as a Power BI Developer! We need someone comfortable with Natural Language Processing, Amazon Web Services, Power BI dashboards, Excel, proficiency in Python, deep neural networks to help us build data-driven products.",2026-01-16,"AWS, Deep Learning, Excel, NLP, Power BI, Python",6
4495,Data Analyst,DataForge,Chennai,Lead,"Data Analyst role open at DataForge. Key requirements include NLP, Generative AI, deep neural networks, SQL queries, Amazon Web Services, proficiency in Python. This is a Lead level position, Chennai based.",2026-03-10,"AWS, Deep Learning, Generative AI, NLP, Python, SQL",6
4765,Data Scientist,Clarity Systems,Singapore,Mid,"We are looking for a Data Scientist to join our team in Singapore. The ideal candidate has hands-on experience with Tableau dashboards, PowerBI. You will work closely with cross-functional teams to deliver insights.",2026-04-29,"Power BI, Tableau",2
1223,Data Analyst,Northstar Tech,New York,Senior,"Northstar Tech is hiring a Data Analyst (Senior level) based in New York. Required skills: Machine Learning, proficiency in Python, AWS, T-SQL, Tableau dashboards. Prior experience with analytics platforms is a plus.",2026-07-11,"AWS, Machine Learning, Python, SQL, Tableau",5
4689,Data Science Manager,Vertex Insights,Remote,Lead,"We are looking for a Data Science Manager to join our team in Remote. The ideal candidate has hands-on experience with LLMs, Power BI dashboards, ML models, Natural Language Processing. You will work closely with cross-functional teams to deliver insights.",2026-07-19,"Generative AI, Machine Learning, NLP, Power BI",4
